Name,Position,Birth_Date,Height,Weight
Andre Binette,G,12/2/1933,5-8 ft,140
Les Binkley,G,6/6/1934,6-0 ft,175
Jordan Binnington,G,7/11/1993,6-1 ft,167
Jack Bionda,D,9/18/1933,6-0 ft,180
Braden Birch,D,9/25/1989,,
Tyler Bird,RW,8/14/1996,6-1 ft,200
Josh Birkholz,RW,3/28/1991,,
Dane Birks,D,8/29/1995,,
Michal Birner,LW,3/2/1986,,
Martin Biron,G,8/15/1977,6-2 ft,186
Mathieu Biron,D,4/29/1980,6-6 ft,230
Sebastien Bisaillon,D,12/8/1986,6-0 ft,205
Jake Bischoff,D,7/25/1994,,
Mike Bishai,C,5/30/1979,5-11 ft,185
Ben Bishop,G,11/21/1986,6-7 ft,216
Clark Bishop,C,3/29/1996,6-0 ft,189
Tom Bissett,C,3/13/1966,6-0 ft,180
Paul Bissonnette,LW,3/11/1985,6-2 ft,216
Anthony Bitetto,D,7/15/1990,6-1 ft,210
William Bitten,C,7/10/1998,5-10 ft,164
Paul Bittner,LW,11/4/1996,6-4 ft,204
Richard Bittner,G,1/12/1922,6-0 ft,170
Byron Bitz,RW,7/21/1984,6-5 ft,215
Anders Bjork,LW,8/5/1996,5-11 ft,182
Johan Bjork,D,8/28/1984,,
Henrik Bjorklund,RW,9/22/1990,,
Kasper Bjorkqvist,RW,7/10/1997,6-1 ft,198
Oliver Bjorkstrand,RW,4/10/1995,6-0 ft,175
Nick Bjugstad,C,7/17/1992,6-6 ft,218
Scott Bjugstad,RW,6/2/1961,6-1 ft,185
Bjorn Bjurling,G,8/21/1979,,
Graham Black,C,1/13/1993,,
James Black,LW,8/15/1969,6-0 ft,202
Milt Black,RW,6/20/1949,6-0 ft,190
Steve Black,LW,3/31/1927,6-0 ft,185
Bob Blackburn,D,2/1/1938,5-11 ft,198
Dan Blackburn,G,5/20/1983,6-0 ft,180
Don Blackburn,LW,5/14/1938,6-0 ft,190
Jesse Blacker,D,4/19/1991,6-1 ft,190
Colin Blackwell,C,3/28/1993,,
Bill Blackwood,D,4/5/1955,5-11 ft,187
MacKenzie Blackwood,G,12/9/1996,6-4 ft,215
Hank Blade,LW,4/28/1920,5-11 ft,190
Tom Bladon,D,12/29/1952,6-1 ft,195
Stefan Blaho,RW,6/22/1985,,
Jacques Blain,D,7/19/1947,5-11 ft,180
Jeremie Blain,D,3/19/1992,6-3 ft,195
Garry Blaine,RW,4/19/1933,5-11 ft,190
Andy Blair,C,2/27/1908,6-1 ft,180
Chuck Blair,RW,7/23/1928,5-10 ft,175
Dusty Blair,C,9/15/1929,5-8 ft,160
Samuel Blais,LW,6/17/1996,5-9 ft,164
Mike Blaisdell,RW,1/18/1960,6-1 ft,196
Bob Blake,LW,8/16/1914,6-0 ft,200
Jason Blake,LW,9/2/1973,5-10 ft,190
Mickey Blake,LW/D,10/31/1912,5-10 ft,186
Mike Blake,G,4/6/1956,6-0 ft,185
Rob Blake,D,12/10/1969,6-4 ft,220
Toe Blake,LW,8/21/1912,5-10 ft,165
Jan Blanar,D,6/6/1983,,
Nicolas Blanchard,LW,5/31/1987,6-3 ft,206
Bob Blanchet,G,2/24/1954,5-8 ft,175
Bernie Blanchette,RW,7/11/1947,6-0 ft,175
Joseph Blandisi,C,6/18/1994,6-0 ft,200
Cody Blanshan,D,2/14/1984,,
Miroslav Blatak,D,5/25/1982,,
Zdenek Blatny,LW,1/14/1981,6-1 ft,190
Michal Blazek,D,4/2/1982,,
Conner Bleackley,C,7/2/1996,6-0 ft,192
Conner Bleackley,C,7/2/1996,6-0 ft,192
Joachim Blichfeld,W,7/17/1998,6-2 ft,176
Anton Blidh,LW,3/14/1995,6-0 ft,201
Ricard Blidstrand,D,4/20/1992,,
Rick Blight,RW,10/17/1955,6-2 ft,195
Russ Blinco,C,3/12/1908,5-10 ft,171
Severin Blindenbacher,D,3/15/1983,,
Mario Bliznak,C,3/6/1987,6-0 ft,185
Ken Block,D,3/18/1944,5-10 ft,191
Jeff Bloemberg,D,1/31/1968,6-2 ft,205
Stefan Blom,D,7/30/1985,,
Patric Blomdahl,RW,1/30/1984,,
Anton Blomqvist,D,3/7/1990,,
Timo Blomqvist,D,1/23/1961,6-0 ft,200
Arto Blomsten,D,3/16/1965,6-3 ft,210
Ludwig Blomstrand,LW,3/8/1993,6-1 ft,198
Ben Blood,D,3/15/1989,,
Evan Bloodoff,LW,11/21/1990,,
Mike Bloom,LW,4/12/1952,6-3 ft,206
Sylvain Blouin,LW,5/21/1974,6-2 ft,215
John Blue,G,2/19/1966,5-10 ft,185
Teddy Blueger,C,8/15/1994,,
Dylan Blujus,D,1/22/1994,,
Frank Blum,G,6/29/1952,6-0 ft,180
John Blum,D,10/8/1959,6-3 ft,205
Jonathon Blum,D,1/30/1989,6-1 ft,186
Mike Blunden,RW,12/15/1986,6-4 ft,217
Igor Bobkov,G,1/2/1991,6-5 ft,235
Viktor Bobrov,C,1/1/1984,,
Sergei Bobrovsky,G,9/20/1988,6-2 ft,182
Vladimir Bobylev,RW,4/18/1997,6-2 ft,202
Brandon Bochenski,RW,4/4/1982,6-1 ft,187
Bob Bodak,LW,5/28/1961,6-2 ft,200
Gregg Boddy,D,3/19/1949,6-2 ft,200
Doug Bodger,D,6/18/1966,6-2 ft,210
Troy Bodie,RW,1/25/1985,6-5 ft,226
Rasmus Bodin,LW,5/5/1994,,
Gus Bodnar,C,4/24/1923,5-11 ft,160
Andrew Bodnarchuk,D,7/11/1988,5-11 ft,196
Denis Bodrov,D,8/22/1986,,
Mikkel Boedker,RW,12/16/1989,6-0 ft,210
Ron Boehm,LW,8/14/1943,5-8 ft,160
Garth Boesch,D,10/7/1920,6-0 ft,180
Brock Boeser,RW,2/25/1997,6-0 ft,191
Zach Bogosian,D,7/15/1990,6-3 ft,228
Eric Boguniecki,C,5/6/1975,5-8 ft,198
Rick Boh,C,5/18/1964,5-10 ft,185
Lonny Bohonos,RW,5/20/1973,5-11 ft,190
Alexandre Boikov,D,2/7/1975,6-0 ft,200
Sergei Boikov,D,1/24/1996,6-1 ft,195
